"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-04-07","AGU",53,425,183,0,
"2020-04-07","BCN",136,590,345,7,
"2020-04-07","BCS",56,236,149,2,
"2020-04-07","CAM",14,43,12,1,
"2020-04-07","COA",109,502,550,5,
"2020-04-07","COL",5,70,19,0,
"2020-04-07","CHP",28,146,80,0,
"2020-04-07","CHH",22,120,68,0,
"2020-04-07","CMX",723,2430,1350,32,
"2020-04-07","DUR",15,156,84,4,
"2020-04-07","GUA",61,1051,242,1,
"2020-04-07","GRO",37,199,145,3,
"2020-04-07","HID",41,283,87,6,
"2020-04-07","JAL",135,1654,752,7,
"2020-04-07","MEX",320,1136,609,9,
"2020-04-07","MIC",34,264,134,4,
"2020-04-07","MOR",24,170,51,4,
"2020-04-07","NAY",10,94,37,1,
"2020-04-07","NLE",93,1186,333,4,
"2020-04-07","OAX",35,237,61,1,
"2020-04-07","PUE",179,485,262,4,
"2020-04-07","QUE",45,307,58,2,
"2020-04-07","ROO",135,294,171,9,
"2020-04-07","SLP",41,464,187,3,
"2020-04-07","SIN",111,314,329,13,
"2020-04-07","SON",35,272,176,1,
"2020-04-07","TAB",108,390,293,8,
"2020-04-07","TAM",32,243,111,3,
"2020-04-07","TLA",18,189,83,0,
"2020-04-07","VER",46,596,429,3,
"2020-04-07","YUC",74,340,88,2,
"2020-04-07","ZAC",10,213,48,2,
