"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-04-03","AGU",48,43,,0,
"2020-04-03","BCN",52,231,,5,
"2020-04-03","BCS",21,78,,2,
"2020-04-03","CAM",6,21,,0,
"2020-04-03","CHH",12,39,,0,
"2020-04-03","CHP",18,46,,0,
"2020-04-03","CMX",384,862,,15,
"2020-04-03","COA",70,226,,3,
"2020-04-03","COL",4,16,,0,
"2020-04-03","DUR",8,26,,1,
"2020-04-03","GRO",24,108,,1,
"2020-04-03","GUA",52,237,,0,
"2020-04-03","HID",30,71,,3,
"2020-04-03","JAL",116,687,,6,
"2020-04-03","MEX",177,430,,1,1
"2020-04-03","MIC",24,78,,1,
"2020-04-03","MOR",12,45,,3,
"2020-04-03","NAY",8,46,,1,
"2020-04-03","NLE",85,145,,0,
"2020-04-03","OAX",22,73,,1,
"2020-04-03","PUE",109,178,,1,
"2020-04-03","QUE",35,52,,2,
"2020-04-03","ROO",65,119,,1,
"2020-04-03","SIN",51,234,,5,
"2020-04-03","SLP",35,152,,2,
"2020-04-03","SON",22,152,,0,
"2020-04-03","TAB",73,326,,3,
"2020-04-03","TAM",16,80,,0,
"2020-04-03","TLA",8,78,,0,
"2020-04-03","VER",35,404,,2,
"2020-04-03","YUC",59,69,,0,
"2020-04-03","ZAC",7,46,,1,
