"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-26","AGU",13,59,,0,
"2020-03-26","BCN",19,136,,0,
"2020-03-26","BCS",7,20,,0,
"2020-03-26","CAM",2,3,,0,
"2020-03-26","CHH",6,5,,0,
"2020-03-26","CHP",4,16,,0,
"2020-03-26","CMX",83,401,,3,
"2020-03-26","COA",13,54,,0,
"2020-03-26","COL",2,11,,0,
"2020-03-26","DUR",5,24,,1,
"2020-03-26","GRO",7,19,,0,
"2020-03-26","GUA",23,107,,0,
"2020-03-26","HID",12,24,,0,
"2020-03-26","JAL",64,220,,2,1
"2020-03-26","MEX",46,289,,0,
"2020-03-26","MIC",11,36,,0,
"2020-03-26","MOR",4,21,,0,
"2020-03-26","NAY",4,8,,0,
"2020-03-26","NLE",57,103,,0,
"2020-03-26","OAX",8,24,,0,
"2020-03-26","PUE",45,68,,0,
"2020-03-26","QUE",21,46,,0,
"2020-03-26","ROO",29,37,,0,
"2020-03-26","SIN",8,54,,0,
"2020-03-26","SLP",18,45,,2,
"2020-03-26","SON",7,48,,0,
"2020-03-26","TAB",17,46,,0,
"2020-03-26","TAM",6,17,,0,
"2020-03-26","TLA",1,35,,0,
"2020-03-26","VER",7,130,,0,
"2020-03-26","YUC",32,18,,0,
"2020-03-26","ZAC",4,32,,0,
