"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-31","AGU",36,81,,0,
"2020-03-31","BCN",35,174,,0,
"2020-03-31","BCS",17,35,,0,
"2020-03-31","CAM",5,2,,0,
"2020-03-31","CHH",7,16,,0,
"2020-03-31","CHP",13,31,,0,
"2020-03-31","CMX",234,517,,8,
"2020-03-31","COA",44,140,,1,
"2020-03-31","COL",2,8,,0,
"2020-03-31","DUR",7,18,,1,
"2020-03-31","GRO",15,80,,0,
"2020-03-31","GUA",46,130,,0,
"2020-03-31","HID",19,66,,3,
"2020-03-31","JAL",94,377,,3,
"2020-03-31","MEX",149,371,,1,
"2020-03-31","MIC",21,70,,1,
"2020-03-31","MOR",7,34,,1,
"2020-03-31","NAY",6,19,,0,
"2020-03-31","NLE",76,148,,0,
"2020-03-31","OAX",14,50,,1,
"2020-03-31","PUE",81,121,,1,
"2020-03-31","QUE",29,61,,1,
"2020-03-31","ROO",47,43,,1,
"2020-03-31","SIN",27,125,,3,
"2020-03-31","SLP",25,83,,2,
"2020-03-31","SON",17,98,,0,
"2020-03-31","TAB",48,178,,0,
"2020-03-31","TAM",8,54,,0,
"2020-03-31","TLA",4,64,,0,
"2020-03-31","VER",27,266,,1,
"2020-03-31","YUC",49,25,,0,
"2020-03-31","ZAC",6,26,,0,
