"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-15","AGU",1,2,,0,
"2020-03-15","BCN",0,10,,0,
"2020-03-15","BCS",0,4,,0,
"2020-03-15","CAM",0,,,0,
"2020-03-15","CHH",0,1,,0,
"2020-03-15","CHP",1,4,,0,
"2020-03-15","CMX",18,42,,0,
"2020-03-15","COA",1,5,,0,
"2020-03-15","COL",0,1,,0,
"2020-03-15","DUR",1,7,,0,
"2020-03-15","GRO",0,6,,0,
"2020-03-15","GUA",0,13,,0,
"2020-03-15","HID",0,,,0,
"2020-03-15","JAL",2,9,,0,
"2020-03-15","MEX",4,13,,0,
"2020-03-15","MIC",0,,,0,
"2020-03-15","MOR",0,,,0,
"2020-03-15","NAY",0,,,0,
"2020-03-15","NLE",5,21,,0,
"2020-03-15","OAX",2,2,,0,
"2020-03-15","PUE",6,2,,0,
"2020-03-15","QUE",6,11,,0,
"2020-03-15","ROO",1,7,,0,
"2020-03-15","SIN",2,3,,0,
"2020-03-15","SLP",2,3,,0,
"2020-03-15","SON",0,,,0,
"2020-03-15","TAB",0,,,0,
"2020-03-15","TAM",0,,,0,
"2020-03-15","TLA",0,1,,0,
"2020-03-15","VER",0,8,,0,
"2020-03-15","YUC",1,1,,0,
"2020-03-15","ZAC",0,,,0,
