"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-27","AGU",19,65,,0,
"2020-03-27","BCN",20,148,,0,
"2020-03-27","BCS",9,19,,0,
"2020-03-27","CAM",2,6,,0,
"2020-03-27","CHH",6,14,,0,
"2020-03-27","CHP",7,18,,0,
"2020-03-27","CMX",107,505,,5,1
"2020-03-27","COA",14,62,,0,
"2020-03-27","COL",2,14,,0,
"2020-03-27","DUR",7,17,,1,
"2020-03-27","GRO",7,46,,0,
"2020-03-27","GUA",31,126,,0,
"2020-03-27","HID",12,40,,0,
"2020-03-27","JAL",77,212,,3,
"2020-03-27","MEX",70,266,,0,
"2020-03-27","MIC",16,41,,1,
"2020-03-27","MOR",4,26,,0,
"2020-03-27","NAY",5,14,,0,
"2020-03-27","NLE",64,43,,0,
"2020-03-27","OAX",11,33,,0,
"2020-03-27","PUE",51,96,,0,
"2020-03-27","QUE",23,54,,0,
"2020-03-27","ROO",29,53,,0,
"2020-03-27","SIN",9,60,,0,
"2020-03-27","SLP",19,59,,2,
"2020-03-27","SON",8,53,,0,
"2020-03-27","TAB",21,76,,0,
"2020-03-27","TAM",6,23,,0,
"2020-03-27","TLA",4,46,,0,
"2020-03-27","VER",17,161,,0,
"2020-03-27","YUC",36,19,,0,
"2020-03-27","ZAC",4,60,,0,
