"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-19","AGU",4,9,,0,
"2020-03-19","BCN",2,35,,0,
"2020-03-19","BCS",0,6,,0,
"2020-03-19","CAM",0,2,,0,
"2020-03-19","CHH",1,3,,0,
"2020-03-19","CHP",2,,,0,
"2020-03-19","CMX",31,82,,1,
"2020-03-19","COA",1,13,,0,
"2020-03-19","COL",1,3,,0,
"2020-03-19","DUR",3,4,,0,
"2020-03-19","GRO",4,10,,0,
"2020-03-19","GUA",4,15,,0,
"2020-03-19","HID",2,7,,0,
"2020-03-19","JAL",22,13,,0,
"2020-03-19","MEX",10,63,,0,
"2020-03-19","MIC",0,10,,0,
"2020-03-19","MOR",0,4,,0,
"2020-03-19","NAY",0,3,,0,
"2020-03-19","NLE",19,35,,0,
"2020-03-19","OAX",2,8,,0,
"2020-03-19","PUE",11,17,,0,
"2020-03-19","QUE",9,10,,0,
"2020-03-19","ROO",6,29,,0,
"2020-03-19","SIN",3,4,,0,
"2020-03-19","SLP",7,9,,0,
"2020-03-19","SON",2,11,,0,
"2020-03-19","TAB",1,,,0,
"2020-03-19","TAM",2,5,,0,
"2020-03-19","TLA",0,2,,0,
"2020-03-19","VER",2,25,,0,
"2020-03-19","YUC",13,7,,0,
"2020-03-19","ZAC",0,4,,0,
