"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-16","AGU",1,3,,0,
"2020-03-16","BCN",0,15,,0,
"2020-03-16","BCS",0,1,,0,
"2020-03-16","CAM",0,1,,0,
"2020-03-16","CHH",0,2,,0,
"2020-03-16","CHP",1,,,0,
"2020-03-16","CMX",21,42,,0,
"2020-03-16","COA",1,1,,0,
"2020-03-16","COL",0,3,,0,
"2020-03-16","DUR",3,,,0,
"2020-03-16","GRO",2,,,0,
"2020-03-16","GUA",0,10,,0,
"2020-03-16","HID",0,1,,0,
"2020-03-16","JAL",2,18,,0,
"2020-03-16","MEX",9,15,,0,
"2020-03-16","MIC",0,,,0,
"2020-03-16","MOR",0,1,,0,
"2020-03-16","NAY",0,,,0,
"2020-03-16","NLE",13,2,,0,
"2020-03-16","OAX",2,2,,0,
"2020-03-16","PUE",8,2,,0,1
"2020-03-16","QUE",7,10,,0,
"2020-03-16","ROO",4,9,,0,
"2020-03-16","SIN",2,4,,0,
"2020-03-16","SLP",2,8,,0,
"2020-03-16","SON",0,2,,0,
"2020-03-16","TAB",0,1,,0,
"2020-03-16","TAM",0,1,,0,
"2020-03-16","TLA",0,,,0,
"2020-03-16","VER",0,8,,0,
"2020-03-16","YUC",4,8,,0,
"2020-03-16","ZAC",0,1,,0,
