"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-04-01","AGU",36,57,,0,
"2020-04-01","BCN",37,185,,0,
"2020-04-01","BCS",18,45,,2,
"2020-04-01","CAM",5,9,,0,
"2020-04-01","CHH",11,22,,0,
"2020-04-01","CHP",14,36,,0,
"2020-04-01","CMX",296,591,,8,
"2020-04-01","COA",57,162,,2,
"2020-04-01","COL",3,9,,0,
"2020-04-01","DUR",7,24,,1,
"2020-04-01","GRO",17,84,,1,
"2020-04-01","GUA",49,173,,0,
"2020-04-01","HID",21,60,,3,
"2020-04-01","JAL",99,496,,3,1
"2020-04-01","MEX",157,340,,1,3
"2020-04-01","MIC",24,61,,1,
"2020-04-01","MOR",9,36,,1,
"2020-04-01","NAY",8,20,,1,
"2020-04-01","NLE",78,109,,0,
"2020-04-01","OAX",22,25,,1,
"2020-04-01","PUE",97,103,,1,
"2020-04-01","QUE",29,67,,1,
"2020-04-01","ROO",51,50,,1,
"2020-04-01","SIN",32,132,,4,
"2020-04-01","SLP",31,74,,2,
"2020-04-01","SON",18,119,,0,
"2020-04-01","TAB",52,233,,1,
"2020-04-01","TAM",9,61,,0,
"2020-04-01","TLA",5,66,,0,
"2020-04-01","VER",28,305,,1,
"2020-04-01","YUC",52,34,,0,
"2020-04-01","ZAC",6,39,,1,
