"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-18","AGU",1,10,,0,
"2020-03-18","BCN",2,25,,0,
"2020-03-18","BCS",0,,,0,
"2020-03-18","CAM",0,1,,0,
"2020-03-18","CHH",1,1,,0,
"2020-03-18","CHP",1,,,0,
"2020-03-18","CMX",24,80,,0,
"2020-03-18","COA",1,10,,0,
"2020-03-18","COL",1,2,,0,
"2020-03-18","DUR",3,3,,0,
"2020-03-18","GRO",2,14,,0,
"2020-03-18","GUA",4,6,,0,
"2020-03-18","HID",0,5,,0,
"2020-03-18","JAL",6,15,,0,
"2020-03-18","MEX",10,41,,0,
"2020-03-18","MIC",0,2,,0,
"2020-03-18","MOR",0,1,,0,
"2020-03-18","NAY",0,2,,0,
"2020-03-18","NLE",19,8,,0,
"2020-03-18","OAX",2,1,,0,
"2020-03-18","PUE",9,10,,0,
"2020-03-18","QUE",7,5,,0,
"2020-03-18","ROO",6,12,,0,
"2020-03-18","SIN",2,5,,0,
"2020-03-18","SLP",3,16,,0,
"2020-03-18","SON",1,9,,0,
"2020-03-18","TAB",1,,,0,
"2020-03-18","TAM",2,2,,0,
"2020-03-18","TLA",0,,,0,
"2020-03-18","VER",2,20,,0,
"2020-03-18","YUC",8,8,,0,
"2020-03-18","ZAC",0,,,0,
