"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-28","AGU",19,106,,0,
"2020-03-28","BCN",20,140,,0,
"2020-03-28","BCS",9,31,,0,
"2020-03-28","CAM",3,8,,0,
"2020-03-28","CHH",6,16,,0,
"2020-03-28","CHP",6,36,,0,1
"2020-03-28","CMX",177,398,,7,
"2020-03-28","COA",15,86,,0,
"2020-03-28","COL",2,13,,0,
"2020-03-28","DUR",7,35,,1,
"2020-03-28","GRO",10,52,,0,
"2020-03-28","GUA",37,132,,0,
"2020-03-28","HID",12,43,,1,
"2020-03-28","JAL",82,209,,3,
"2020-03-28","MEX",85,298,,0,
"2020-03-28","MIC",17,48,,1,
"2020-03-28","MOR",4,25,,0,
"2020-03-28","NAY",5,15,,0,
"2020-03-28","NLE",64,66,,0,
"2020-03-28","OAX",12,36,,0,
"2020-03-28","PUE",52,105,,0,
"2020-03-28","QUE",25,56,,0,
"2020-03-28","ROO",33,52,,1,
"2020-03-28","SIN",14,84,,0,
"2020-03-28","SLP",20,61,,2,
"2020-03-28","SON",10,48,,0,
"2020-03-28","TAB",27,109,,0,
"2020-03-28","TAM",6,33,,0,
"2020-03-28","TLA",4,41,,0,
"2020-03-28","VER",23,171,,0,
"2020-03-28","YUC",38,10,,0,
"2020-03-28","ZAC",4,60,,0,
