"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-03-06","AGU",0,,,0,
"2020-03-06","BCN",0,,,0,
"2020-03-06","BCS",0,,,0,
"2020-03-06","CAM",0,,,0,
"2020-03-06","CHH",0,,,0,
"2020-03-06","CHP",1,,,0,
"2020-03-06","CMX",2,,,0,
"2020-03-06","COA",1,,,0,
"2020-03-06","COL",0,,,0,
"2020-03-06","DUR",0,,,0,
"2020-03-06","GRO",0,,,0,
"2020-03-06","GUA",0,,,0,
"2020-03-06","HID",0,,,0,
"2020-03-06","JAL",0,,,0,
"2020-03-06","MEX",1,,,0,
"2020-03-06","MIC",0,,,0,
"2020-03-06","MOR",0,,,0,
"2020-03-06","NAY",0,,,0,
"2020-03-06","NLE",0,,,0,
"2020-03-06","OAX",0,,,0,
"2020-03-06","PUE",0,,,0,
"2020-03-06","QUE",0,,,0,
"2020-03-06","ROO",0,,,0,
"2020-03-06","SIN",1,,,0,
"2020-03-06","SLP",0,,,0,
"2020-03-06","SON",0,,,0,
"2020-03-06","TAB",0,,,0,
"2020-03-06","TAM",0,,,0,
"2020-03-06","TLA",0,,,0,
"2020-03-06","VER",0,,,0,
"2020-03-06","YUC",0,,,0,
"2020-03-06","ZAC",0,,,0,
